NAME	CD8	CD4	Fibroblast	Macrophage	B	Malignant	Mast	Dendritic	Myocyte	Endothelial
ADAM15	1	1	1	1	1	57.7337529283452	1	1	1	645.163427535313
ADAM19	70.4407894847528	76.9591532118632	1	66.4277956837972	28.140145189289	1	1	210.667753189543	1	1
ADAM28	1	1	1	164.192198049143	1	1	1	1	1	1
ADAM8	1	1	1	51.3021042156342	1	1	1	138.21505991217	1	1
ADAM9	1	1	106.187610839825	222.280853606493	1	62.3801887179976	1	1	1	1
ADAMDEC1	1	1	1	115.160791990704	1	1	1	1	1	1
ADAMTS1	1	1	1887.67416091434	1	1	55.7591320870303	1	1	46.5639554148796	366.044813047619
ADAMTS4	1	1	523.505852489682	1	1	1	1	1	1	138.807898914545
ADCK3	1	1	1	44.0272299318365	51.4421239141182	1	1	56.2020659259925	366.667865640783	84.2614195327421
ADCK5	1	1	1	1	1	55.8653651597559	1	1	1	1
ADCY3	1	1	63.4805988797147	1	1	1	1	1	1	1
ADCY4	1	1	1	1	1	1	1	1	1	561.767525615019
ADCY7	1	1	1	1	1	1	85.5015096430068	63.0126021279054	1	1
ADCYAP1	1	1	1	1	1	1	355.525580061213	1	1	1
ADD3	1	141.826402712939	54.3068898265376	1	1	29.4063670983083	98.7984636591007	10.1359948633438	39.4267512217864	61.8717082037554
ADH5	1	1	131.114536033224	1	1	94.7177323989554	1	96.0727113361418	82.3324080481463	46.0545689539312
ADIRF	1	1	1197.05187160862	1	1	152.317652061825	1	1	11.3846654942419	726.072386369943
ADK	1	1	1	42.6898043083077	1	163.126708188513	1	120.390244235732	1	16.4725767551769
ADM	1	1	364.254705531593	391.552188077883	1	360.864941063905	1	1	98.4608859102082	429.885390433843
ADM5	1	1	1	1	1	1	1	1	1	137.843664300063
ADORA2A	1	1	1	1	66.666192396493	1	1	168.677681692363	1	1
ADORA2B	1	1	1	1	1	66.4814374123549	1	1	1	1
ADORA3	1	1	1	285.33412086516	1	1	270.009701598858	1	1	1
ADPRH	1	1	1	1	1	1	128.845293942463	1	72.8300841195016	1
ADRA1A	1	12.3889633803757	1	1	1	1	1	1	1	1
ADRB2	1	1	1	36.4615153012823	193.197315364075	135.702334870883	352.767927209559	1	235.058340696116	93.1066893547472
ADRBK2	1	1	1	1	1	1	1	68.9352846271569	1	1
ADSL	1	1	68.4961262478623	53.1881568553083	1	132.392712242073	218.012438290962	2.31713533825745	219.860140141153	67.6309306286128
AEBP1	1	1	256.484588081162	1	1	1	1	1	1	1
AEN	1	1	1	1	62.275375826292	28.4637189917713	1	1	1	77.9044012369016
AES	93.6634371838798	122.192170437297	1	1	1	1	1	15.0854738671587	15.3609052782777	59.8837350910804
AFAP1L1	1	1	1	1	1	1	1	1	129.03453731343	182.503039209984
AFTPH	1	1	1	1	66.419648045485	20.0233791150819	1	53.0475806987887	1	1
AGA	1	1	1	1	70.7122597630125	52.4932594431957	1	1	1	1
AGAP11	1	1	61.9289022121808	1	1	1	1	1	1	1
AGMAT	1	16.5291097280117	1	1	1	1	1	1	1	1
AGPAT2	1	1	1	1	242.877657643767	203.554626294668	53.3082210196901	1	142.122364036243	152.181520847789
AGPAT5	1	1	1	1	1	1	1	1	36.9817163923813	1
AGPAT6	1	1	1	21.0797760062887	1	1	34.4590093856836	87.7655204881915	38.1014373896246	18.1991821138366
AGPAT9	1	1	1	1	1	1	83.6585790951301	1	167.702748007242	1
AGT	1	1	229.619399408198	1	1	1	1	1	1	1
AGTRAP	1	1	129.912752648761	1	1	313.132798840378	264.275958596828	1	551.888006971447	66.8753756933874
AHCYL1	1	1	39.9873182178463	1	1	1	63.2994334952824	1	10.5719055871398	1
AHNAK2	1	1	1	1	1	62.0574178732971	1	1	1	1
AIF1	1	1	1	1595.07941720745	1	1	1	1	1	1
AIM1	198.679161779521	287.07745732099	1	1	1	27.8160722236847	1	2.52045133950864	1	1
AIM2	1	1	1	1	94.23219742768	91.0227618906494	1	1	1	1
AIMP2	1	1	1	34.8669227323293	1	127.65081737636	1	1	64.9699196618376	1
AK1	1	1	54.4947203565997	1	1	36.0714841144778	1	1	249.902030409381	35.1827631445491
AKAP12	1	1	48.0657922625461	1	1	1	1	1	1	1
AKAP17A	1	1	1	1	1	1	1	1	1	67.7342167842164
AKAP2	1	1	85.282271372805	1	1	1	176.039195338544	83.0224326525392	1	198.461536379323
AKAP5	1	1	1	1	1	1	23.2966916975826	1	1	1
AKAP6	1	1	1	1	1	1	1	1	81.1903275530968	1
AKNA	101.661826001042	60.3976838980874	1	1	1	1	1	1	1	1
AKR1B10	1	1	1	1	1	109.707947288339	1	1	1	1
AKR1C1	1	1	1	1	1	76.8064137702093	1	1	1	1
AKR1C2	1	1	1	1	1	51.7883407410319	1	1	1	1
AKR1C3	1	1	134.538345564103	1	1	80.185688793133	1	1	1	219.871086920551
AKTIP	1	1	1	1	1	40.1131685978092	1	1	1	133.076484694728
ALCAM	1	1	1	52.712137081138	1	26.8216426659538	1	54.3022052116022	1	1
ALDH18A1	1	1	1	17.4656652984687	62.8108872166342	44.2466935227056	1	1	1	1
ALDH1A1	1	1	1	1	1	1	196.982836076868	1	1	1
ALDH1A3	1	1	1	1	1	65.3032277502586	1	1	1	1
ALDH1B1	1	1	66.8872474287014	1	1	1	1	1	26.5923089210231	1
ALDH2	1	1	189.950738867188	324.597448912649	1	87.1776337605586	1	484.394778738422	1	1
ALDH3A2	1	1	61.4373205741837	1	1	35.5785104364381	1	1	154.202962201031	1
ALDH3B1	1	1	1	1	1	1	77.8218240438433	1	1	1
ALDH4A1	1	1	1	1	1	1	1	1	118.621885724495	1
ALG13	1	80.3565418193304	1	1	62.1100927748136	1	35.3302628439738	1	1	1
ALG14	1	1	1	1	119.065206998667	33.2885261436276	1	1	1	1
ALG5	1	1	98.516891029013	99.1189178057791	456.75526876666	89.9747091517223	1	62.7898793342095	1	122.711986006928
ALG9	1	1	1	1	34.4326756864129	1	1	1	1	44.6349284729555
ALKBH2	1	1	1	1	1	25.815313512433	1	1	128.55718572092	51.9036264034745
ALOX5	1	1	1	240.479591442102	1	1	836.137118297584	1	1	1
ALOX5AP	1270.65640519403	962.524442880506	1	564.836872462101	1	1	3744.87772408788	1	1	1
ALPK1	1	1	1	65.8761606289985	1	1	1	14.9384830475383	1	1
ALS2	1	1	1	1	1	1	158.580929930127	1	1	1
AMICA1	435.138097363143	327.459920470064	1	597.88536997686	1	1	1	1	1	1
AMIGO3	1	1	1	1	78.3533786785486	1	1	1	1	1
AMPD2	1	1	1	97.9240473778208	73.4978491215059	1	95.8906007646048	1	1	27.1517797673543
AMZ2P1	1	1	1	1	1	1	35.8733229126263	1	1	25.9473006899018
ANAPC13	1	1	149.860198770479	116.758923112401	150.826815417732	140.648191805518	1	1	423.730692532789	110.851655093877
ANAPC15	1	1	1	1	1	58.3357603924724	1	1	10.5826667536167	1
ANAPC4	1	1	1	1	1	23.3968073787634	125.702899929877	1	1	1
ANAPC7	1	1	1	1	1	42.4002575217709	1	1	113.766287739996	106.366666436741
ANG	1	1	1	134.014487972537	104.592834481034	1	1	1	1	1
ANGEL2	68.0292491589793	1	1	1	1	1	1	1	1	1
ANGPT1	1	1	49.8368604019626	1	1	1	1	1	1	1
ANGPT2	1	1	57.718928123925	1	1	1	1	1	1	111.300005512685
ANGPTL1	1	1	119.479759077529	1	1	1	1	1	1	1
ANGPTL2	1	1	77.328669719527	1	1	1	1	1	91.2222043484181	107.292125412587
ANGPTL4	1	1	565.889709152545	1	1	101.745695861449	1	1	1	1
ANK2	1	1	35.445889795368	1	1	1	1	1	1	1
ANKRD22	1	1	1	50.7167738252776	1	1	1	3.52453350386055	1	1
ANKRD23	1	1	1	1	1	1	1	1	174.346056419105	1
ANKRD28	1	1	1	1	331.265960398667	1	62.8159905806015	1	1	57.4726870391147
ANKRD32	69.2327144933177	1	1	1	1	1	1	1	1	1
ANKRD36BP2	1	1	1	1	357.13296887698	1	1	1	1	1
ANKRD37	200.885368283317	1	1	1	688.155452338819	42.5753699722144	1	1	1	91.7979997226018
ANKRD44	192.685797080467	209.909083455397	1	70.5963359119117	24.790126080877	1	227.776541761536	144.16582704963	1	1
ANKRD46	1	1	1	1	1	1	1	1	1	73.4732730585721
ANKRD54	1	1	1	1	1	1	1	1	1	92.5054998464569
ANKZF1	1	163.666955998687	1	1	1	41.379896135295	1	1	1	1
ANO1	1	1	64.6001686107573	1	1	227.224749718618	1	1	1	1
ANP32A	85.7548637472135	82.0410800262963	1	10.5317572467359	1	41.1408935892828	1	1	37.1104438350476	40.3585683767904
ANPEP	1	1	1	314.823118957727	1	75.7716129334743	122.699225147703	1	1	1
ANTXR1	1	1	119.003700058421	1	1	1	1	1	1	1
ANTXR2	1	1	1	73.6560258795409	32.2035698555132	1	41.1958466555664	71.1316102265647	1	1
ANXA3	1	1	1	1	1	315.70510987519	1	267.152262856815	1	1
ANXA8	1	1	1	1	1	120.232876873651	1	1	31.2298146714681	1
ANXA8L1	1	1	1	1	1	830.816457187697	1	1	1	1
ANXA8L2	1	1	1	1	1	216.972551246611	1	1	1	1
AOAH	410.658325798416	160.373245475329	1	593.829074425399	1	1	1	1	1	1
AOC3	1	1	123.610503408947	1	1	1	1	1	1	148.012690448272
AP1B1	1	1	1	173.926897883254	1	26.8381040027542	60.0348787068322	13.1930167761782	47.225485278266	1
AP1M2	1	1	1	1	1	68.7601725621574	1	1	1	1
AP1S2	1	1	1	155.678881616705	1	1	82.5726592724455	11.2678708110184	127.86179473166	53.9426798844214
AP3D1	1	1	1	23.158552596094	1	1	1	1	46.4944401579531	1
AP3S2	1	1	1	1	1	19.4350394610677	1	50.7414488623133	1	1
AP5M1	1	1	1	1	1	30.5183051412909	1	1	59.6584132480021	1
AP5Z1	1	1	1	112.131671543637	1	17.105813233691	31.7170302535314	81.719290947991	1	1
APBB1	1	1	70.8055377789144	1	1	1	1	1	86.479129402488	1
APBB3	1	1	1	93.3618811860692	1	1	1	1	24.6589813470871	1
APEH	1	1	1	78.6482182706464	1	48.9824709461634	1	1	113.809179699655	22.1244279493079
APLNR	1	1	1	1	1	1	1	1	1	293.623528614957
APOBEC2	1	1	1	1	1	1	1	1	298.759937204207	1
APOBEC3A	1	1	1	333.4274714967	1	1	1	1	1	1
APOBEC3B	1	1	1	1	1	63.4350226279223	1	1	1	1
APOBEC3C	1006.67648431144	488.310332482985	1	207.922396438526	135.93749193221	174.110527303691	206.15488443489	1	65.4243772777923	1
APOBEC3D	65.6388454792243	45.7436551180414	1	1	46.4499630573236	1	1	1	1	1
APOBEC3F	43.1039851550006	1	1	1	1	1	1	42.7599246158422	1	1
APOBEC3G	812.605432965614	157.990459219991	1	43.2188746517415	59.8419655246169	1	1	1	1	1
APOC1	1	1	1	255.100088449403	1	1	1	1	1	1
APOC2	1	1	1	1	1	1	197.763825003175	1	1	1
APOD	1	1	6542.50279326685	1	1	1	1	1	1	1
APOE	1	1	1	373.142997856854	1	62.9178370870478	1	1	1	1
APOL3	1	1	1	1	1	1	1	1	1	84.349370058087
APOL4	1	1	1	106.649378148197	1	1	1	10.9536590002268	14.1542664033114	1
APOL6	1	1	1	1	19.1150151085399	1	1	1	1	1
APOLD1	1	1	71.3955544805478	1	1	1	1	1	1	301.38150705755
APOO	1	1	1	1	92.5510303645135	1	1	1	1	52.6876194023586
APOPT1	1	1	33.9538017902049	1	1	64.9185495672355	1	55.4956516660125	1	45.3649324394646
APP	1	1	145.975852750125	1	1	95.8954124091983	1	1	1	154.726629432907
AQP1	1	1	169.834340037781	1	1	1	1	1	1	9920.67852982887
AQP3	1	1	1	1	235.220946346149	243.753384292637	70.9028513852429	1	71.0997794102343	1
AQP7P3	1	1	1	1	1	1	1	1	89.8211432995043	1
ARAP1	1	1	51.7380273027112	126.824563518029	1	1	102.992158856489	1	1	25.1531579079888
ARAP2	61.6017905665645	1	1	1	1	1	1	56.671847488683	1	1
AREG	303.540048075426	1	1	986.917335671453	202.480401002098	221.555812314716	2069.61450969024	1	1	1
ARFGAP2	1	1	1	11.698789417171	1	57.4638776402754	120.372195231651	1	130.841139100597	90.112369294407
ARFIP1	1	1	1	28.6374514036756	1	26.3541791029428	1	1	70.9112815044777	1
ARHGAP10	1	1	39.3098268676522	1	1	1	1	100.308066059521	1	1
ARHGAP15	516.633027501894	565.903960208637	1	139.997577972733	110.78117015673	1	152.515588937251	267.648254984456	1	1
ARHGAP17	117.309953685371	1	52.4043293961893	23.7743427135129	1	1	1	1	1	50.7654511424749
ARHGAP18	1	1	1	198.083807918802	49.5133722523122	1	429.401742438294	1	1	107.560575423258
ARHGAP25	175.6271418203	1	1	29.976817632239	1	1	309.671594088886	243.700071476298	1	48.3989098685109
ARHGAP27	1	1	1	67.6120833654097	1	1	1	12.2576771894924	1	63.5144972981403
ARHGAP30	120.461712095396	144.940048109031	1	71.4847056348392	1	1	1	93.2042514381679	1	1
ARHGAP31	1	1	1	1	1	1	1	1	1	70.2621266726762
ARHGAP4	174.397789435296	204.29152863661	1	124.849001433268	1	1	1	1	1	1
ARHGAP9	523.945840069019	492.817217929837	1	41.2061023747172	1	1	1	1	1	1
ARHGDIB	5501.1064619114	6146.67693272208	93.6326847848219	1793.24030331019	468.62797533458	133.541848416331	3906.38462682672	1	1	1209.78716444397
ARHGEF1	478.943607735253	588.457852678926	1	127.062524006325	1	56.3515353031085	58.0464793602652	42.9259701142936	1	83.9437346921527
ARHGEF10L	1	1	1	109.705627674429	1	1	1	1	1	1
ARHGEF15	1	1	1	1	1	1	1	1	1	171.256719297483
ARHGEF17	1	1	49.3072964833993	1	1	1	1	1	1	1
ARHGEF2	1	1	1	34.8303521663466	1	1	27.3694301026194	30.9869053328714	1	1
ARHGEF3	157.413061018045	140.593986860782	1	1	1	1	1	1	1	155.933209886045
ARHGEF40	1	1	1	65.9743940152278	1	1	57.4568754311935	1	1	1
ARHGEF6	1	1	1	46.6875223374377	1	1	357.982669143118	1	1	1
ARHGEF7	144.154364538129	124.898015588828	93.9113922574445	1	1	21.7424026708192	1	1.31202197189592	17.3559456058548	148.218678404075
ARID3B	1	1	1	34.7733689883418	71.599027698271	1	1	1	1	1
ARID4A	1	57.8893089351973	1	14.7733431524009	1	1	1	1	1	1
ARL16	139.57576936976	1	1	29.9116073983929	1	64.3325035053487	79.1402444190698	1	128.857847084767	74.13690367221
ARL17B	1	1	1	1	1	1	1	54.9950351495449	43.3057713680463	1
ARL3	1	1	1	1	1	15.3992180919366	44.4883255823917	1	1	1
ARL4A	81.6188623431041	152.077913968167	1	117.8630900737	1	82.6402255288997	76.6007395074855	1	1	99.9112102225566
ARL4C	165.993460365448	137.187092803866	1	52.3251162889956	1	41.202307049025	1	1	1	1
ARL4D	1	1	165.895009316725	1	1	117.028046718569	1	1	1	64.3279464298027
ARL5A	1	1	1	58.0233888780966	1	1	1	1	15.0172651911895	1
ARL5B	1	1	1	32.323528374612	1	1	52.1579577026983	1	1	1
ARL6IP6	1	1	1	23.2447316796074	1	53.9850910529882	1	246.020635675059	1	1
ARMC5	1	1	1	1	1	1	1	69.2296769783417	1	171.34979100599
ARMC6	1	1	1	1	1	26.8778080737398	1	1	1	94.0590157887174
ARMC8	1	1	1	112.125624967568	68.6591265080881	51.7510490714973	148.21079598072	1	1	53.1481810083922
ARNT	1	1	55.558869165714	1	1	19.1686532483075	61.8527323204508	1	69.8560373281755	1
ARPC5L	247.331291856358	1	1	60.6871185389589	76.2907223078074	165.919185181609	1	127.269322677242	1	199.846058703716
ARPP21	1	1	1	1	1	1	1	1	46.9497261788079	1
ARRB2	70.9013419889609	1	1	228.906807813896	1	1	38.2246240979642	125.616845625503	1	1
ARRDC1	149.549240600433	1	1	38.1607159154507	1	104.935261009668	1	136.549935964767	1	26.720330058116
ARSA	1	1	1	82.3861916284733	234.236570589899	17.708296493405	49.856424469065	28.0552496505169	20.2266300958731	16.534114700566
ARSB	1	1	1	40.7674813493609	1	1	1	11.4744320645303	1	1
ASAH1	1	1	148.743037997066	542.384399550216	69.5683085062571	1	569.757599349305	1	48.8290914623873	60.1511242845173
ASAP1	1	1	1	1	1	1	1	1	1	63.7141588619267
ASAP3	1	1	1	1	1	1	1	1	119.064496410333	1
ASB5	1	1	1	1	1	1	1	1	67.2648693003668	1
ASB8	1	1	48.893636454774	1	1	23.2281168953231	74.3746211490145	1	259.228067951261	1
ASB9	1	1	1	1	1	1	1	1	1	128.865687924477
ASCC2	1	1	71.3619102031511	257.069235599412	1	86.4991418867464	103.239087307783	2.00744689111518	1	1
ASF1A	1	1	1	1	1	25.2536829589729	102.913374757017	1	1	1
ASF1B	1	1	1	1	1	57.2249589761726	1	1	1	1
ASH2L	1	1	1	1	1	1	1	1	162.739715181406	83.0727176455283
ASNA1	172.261898480398	1	96.1338443163698	47.2228352367424	1	390.250544425819	33.5546768845792	318.261679256108	1	130.466509066983
ASPN	1	1	146.023738358063	1	1	1	1	1	1	1
ASRGL1	1	1	1	1	1	1	1	1	1	70.0403628036128
ATF2	1	1	52.5369862945408	15.0016029549026	1	1	75.3474562396348	67.6870207689107	1	1
ATF3	1	1	654.727391186531	303.398222940199	514.868916327483	300.031103189362	1	566.313781350178	1	217.999049326333
ATF5	1	1	1	1	72.7172381121919	1	1	16.5256386824624	1	1
ATG16L2	1	1	1	1	1	1	1	1	1	87.1584768159645
ATG4A	1	1	1	1	71.7891770824431	1	1	1	1	126.760294091615
ATG5	1	1	1	1	68.5794085106805	47.0090419525275	1	28.9768330539432	1	1
ATG9A	1	1	1	1	1	58.3228268452072	1	48.3174422713889	32.5510168377732	1
ATHL1	1	87.3972184730376	1	1	68.2641073321397	1	1	1	1	1
ATL2	1	1	1	53.4041088730652	1	54.8323647592298	1	1	105.288426326041	1
ATP11C	1	1	1	1	1	1	1	36.9843451071697	1	1
ATP13A1	1	1	1	53.2599550801087	128.506445989508	1	1	1	12.626692619538	54.1385857537956
ATP13A2	1	1	1	84.9583725391774	1	1	1	1	1	1
ATP1A2	1	1	1	1	1	1	1	1	132.89769017204	1
ATP1A4	1	1	1	1	1	1	42.9702942041019	1	1	1
ATP1B1	1	1	1	31.1303724939626	63.902317537015	163.027909495999	52.3187217463278	14.5194454441288	227.660872129627	1
ATP2A1	1	1	1	1	1	1	1	1	192.807543709452	1
ATP2A3	119.881438071447	113.145065191843	1	1	65.4843029578186	1	1	1	1	1
ATP5EP2	1	1	1	9.44265511180987	1	23.0349193324729	1	30.0845541042438	1	1
ATP6V0A2	1	1	1	1	1	1	69.5920385101525	1	1	1
ATP6V1B2	1	1	164.511035364208	380.429539428473	1	61.5320095983541	1	238.861688382776	104.264644771582	111.302191356163
ATP6V1H	1	1	1	42.0087864765891	1	100.51542781276	1	140.255092697621	1	17.9798158818523
ATP8B4	1	1	1	1	1	1	37.9259996820513	1	1	1
ATPAF2	1	1	1	108.80158673575	1	35.1112525746322	1	1	22.0229174092901	1
ATXN7	52.7833152655139	64.2344696667525	1	1	1	1	1	50.6270799419954	1	1
ATXN7L3B	1	1	1	26.2619765135284	1	58.500520016008	1	1	132.941311945025	58.4053723461231
AURKA	1	1	1	1	1	1	89.918888391394	1	1	1
AVL9	134.406917344924	1	1	41.2047964889159	1	61.6839366613112	1	19.346090002995	1	140.930995831797
AVPI1	1	1	1	62.5155037284686	152.327003171266	132.910853163144	1	1	1	1
AXL	1	1	692.944013590528	216.645980218597	1	55.967326018707	1	1	207.437487365771	1
B3GALNT2	1	1	39.2250028899838	1	1	29.1087885179847	1	1	80.6824756755261	24.5068622847728
B3GAT3	1	1	43.8450796046397	1	1	22.2189900263986	1	64.5692342118976	1	28.8186259828259
B3GNT2	343.558104865262	170.98473666741	104.272227755204	40.2785075415654	1	58.3739250738661	1	1	1	60.7051492546771
B3GNT5	1	1	1	109.836242695988	1	143.291276534687	31.6908892251756	1	1	59.0923719159757
B3GNT7	1	1	1	92.5871398206241	1	1	1	1	1	1
B4GALT3	1	1	53.3169778410719	1	131.124020599005	40.2127808048441	1	1	47.3328829353916	46.148838180494
B4GALT5	1	1	1	1	1	1	46.1587492026982	1	26.1341342399266	1
BAD	1	1	154.792505720694	1	190.97246666744	120.912891867084	1	1	1	292.532329404467
BAG3	1	1	141.471771533251	1	232.504268317154	50.0830074688198	1	1	61.3126318332616	258.816039203056
BAIAP2	1	1	1	66.6797787678744	1	73.5791072679623	1	1	1	1
BAIAP2L1	1	1	1	1	1	46.8814845126058	1	1	1	1
BAK1	1	1	1	1	168.121054292977	87.7658066730734	1	1	1	1
BATF	308.843843074864	716.53007727631	1	15.3127635044541	1	1	194.048946814002	1	1	1
BAZ2A	1	1	1	1	29.7645405200835	1	1	71.2057534063605	64.1091810447025	1
BBIP1	1	1	1	1	1	1	1	20.1544807276365	63.9646185936176	1
BBS2	1	1	1	105.344010770751	1	33.7844350001087	112.700099821504	1	1	55.1259282246344
BBS4	1	1	1	69.0298849844456	1	1	65.7724806989372	1	1	1
BBS9	1	1	1	1	1	1	1	1	1	53.9229659630732
BBX	76.0157377231832	105.110953330385	45.239736316117	1	72.1868766106142	23.348931973808	1	1	1	1
BCAM	1	1	79.4304993728071	1	1	1	1	1	1	107.329515826959
BCAR3	1	1	1	1	117.011182423523	1	1	1	1	1
BCL11A	1	1	1	1	1	28.6632477317977	1	125.604963084437	1	1
BCL11B	42.5298549616375	78.7353408267039	1	1	1	1	1	1	1	1
BCL2A1	1	1	1	828.840500319514	1	1	248.387943821164	1158.00252576859	1	1
BCL2L11	1	1	1	1	69.1379671404581	1	29.6497253725996	285.62187588294	1	16.5709064975644
BCL2L14	1	1	1	1	1	1	1	263.127773591425	1	1
BCL6	215.493658855069	459.852765776088	277.823902102266	93.714755418318	122.76050134731	56.5040545555992	1	1.18282146324908	43.1199649176512	51.5020309356163
BCL6B	1	1	1	1	1	1	1	1	1	122.524962773972
BCL7B	1	1	1	1	1	25.2637339095147	1	1	1	94.9169753382376
BCR	1	1	1	1	1	1	1	1	1	74.2019134955847
BDH2	1	1	68.8473192549427	1	1	1	1	1	1	1
BDKRB1	1	1	1	1	1	54.1768846486377	1	1	1	1
BEST3	1	1	1	1	1	1	1	1	272.560791492041	1
BET1L	1	1	63.192750655407	1	1	21.891467501528	77.5563882963836	1	53.6307226240156	1
BEX5	1	1	1	1	138.794543406591	1	1	1	1	1
