group_name,seqnames,start,end
cg12015355,chr12,50812358,50812360
cg25846372,chr21,38608600,38608602
cg09969462,chr17,80734496,80734498
cg25626999,chr19,3189495,3189497
cg18810506,chr16,46932193,46932195
cg17809595,chr15,40395912,40395914
cg11683242,chr1,32716556,32716558
cg02182476,chr19,7538083,7538085
cg00828556,chr3,196351985,196351987
cg25074794,chr10,45958884,45958886
cg18072687,chr11,2406271,2406273
cg05569131,chr6,36665619,36665621
cg17698117,chr12,51751380,51751382
cg11180921,chr11,57090225,57090227
cg18571045,chr13,113238005,113238007
cg13067714,chr14,69091452,69091454
cg19533955,chr3,99790877,99790879
cg02332110,chr6,56714994,56714996
cg13668025,chr3,67706319,67706321
cg26508200,chr12,109235070,109235072
cg20042612,chr14,23027727,23027729
cg08301743,chr19,10916351,10916353
cg12103219,chr19,30165307,30165309
cg04367345,chr11,44332635,44332637
cg15823461,chr11,60699565,60699567
cg20071624,chr7,5258356,5258358
cg09248826,chr9,130860838,130860840
cg11867718,chr11,61647696,61647698
cg03732020,chr11,47282967,47282969
cg00656410,chr1,1157540,1157542
cg12500857,chr7,73645929,73645931
cg27305893,chr12,57894137,57894139
cg09123760,chr12,122712211,122712213
cg25642069,chr8,144408229,144408231
cg24188561,chr19,39387768,39387770
cg04162316,chr17,78786354,78786356
cg01148975,chr17,25822785,25822787
cg11386978,chr5,14326043,14326045
cg18201212,chr9,135259156,135259158
cg23071286,chr15,91360200,91360202
cg12585732,chr10,80920576,80920578
cg12747467,chr17,1104695,1104697
cg11944324,chr11,1296535,1296537
cg03128303,chr20,34229822,34229824
cg26350671,chr20,3788427,3788429
cg15900159,chr13,24421417,24421419
cg02054108,chr2,61607477,61607479
cg00842595,chr17,263192,263194
cg21603759,chr4,2849288,2849290
cg02385661,chr19,13215728,13215730
cg06882829,chr6,170396222,170396224
cg13293139,chr3,12222247,12222249
cg14861383,chr3,150458605,150458607
cg13964181,chr8,11714879,11714881
cg00610310,chr16,1128739,1128741
cg04273871,chr10,102894226,102894228
cg10067737,chr2,89159187,89159189
cg00346244,chr16,87468225,87468227
cg09696715,chr17,79565700,79565702
cg15703314,chr6,513296,513298
cg03530155,chr5,43416919,43416921
cg01056126,chr18,22039874,22039876
cg26669602,chr20,62243856,62243858
cg08075204,chr12,51718111,51718113
cg14249520,chr11,68530176,68530178
cg10608596,chr19,11785124,11785126
cg17500342,chr14,77382481,77382483
cg16585570,chr5,80902302,80902304
cg09776718,chr19,30164819,30164821
cg17528418,chr22,24142902,24142904
cg05877788,chr17,27899873,27899875
cg25838060,chr7,139932728,139932730
cg27011416,chr6,87804943,87804945
cg13610659,chr12,56622607,56622609
cg08888322,chr21,34668628,34668630
cg15427886,chr8,55379662,55379664
cg16069845,chr8,102064120,102064122
cg22275872,chr11,1316435,1316437
cg03597940,chr19,3494620,3494622
cg03935228,chr7,104771545,104771547
cg19176391,chr11,67070759,67070761
cg09630038,chr14,102286772,102286774
cg08087060,chr16,87795807,87795809
cg22908922,chr14,105855007,105855009
cg10917426,chr6,31867697,31867699
cg19688999,chr10,59961764,59961766
cg18563860,chr20,57583390,57583392
cg22941668,chr5,148810179,148810181
cg14067377,chr3,194896526,194896528
cg03636618,chr14,64228584,64228586
cg19045191,chr11,34167854,34167856
cg04311811,chr20,48383973,48383975
cg01656547,chr21,47970841,47970843
cg15015109,chr17,65136479,65136481
cg14094409,chr12,122712092,122712094
cg16891352,chr17,80881835,80881837
cg08975528,chr6,31867699,31867701
cg14644456,chr20,35495546,35495548
cg19426413,chr17,29302234,29302236
cg16805334,chr10,103661275,103661277
cg11222173,chr17,78748018,78748020
cg26245368,chr16,3996294,3996296
cg09160401,chr16,27767813,27767815
cg09865411,chr18,24019172,24019174
cg17817613,chr21,43580647,43580649
cg08472008,chr4,3531602,3531604
cg11561282,chr4,84168423,84168425
cg20474850,chr4,174450082,174450084
cg15242630,chr22,18488477,18488479
cg10263304,chr2,239093659,239093661
cg06963503,chr6,35331258,35331260
cg03270919,chr1,16450403,16450405
cg24271161,chr2,25841822,25841824
cg21565496,chr13,40762149,40762151
cg00504500,chr8,131017505,131017507
cg10566933,chr4,139832327,139832329
cg03091551,chr14,57275966,57275968
cg20699157,chr13,24528150,24528152
cg10660635,chr11,1780293,1780295
cg27420834,chr15,56940577,56940579
cg02081266,chr17,59529617,59529619
cg22023664,chr19,2619607,2619609
cg01031101,chr6,28227090,28227092
cg24958342,chr10,22375786,22375788
cg14300089,chr17,74044445,74044447
cg15251256,chr12,46101446,46101448
cg09875326,chr16,85665048,85665050
cg07396047,chr16,87735076,87735078
cg22547206,chr10,103296015,103296017
cg06494464,chr22,24992603,24992605
cg16291589,chr20,6023177,6023179
cg26088614,chr2,26039145,26039147
cg26613634,chr9,116225792,116225794
cg12382960,chr14,81672131,81672133
cg20487608,chr6,15288125,15288127
cg13996193,chr8,19533748,19533750
cg09817814,chr19,6244503,6244505
cg06159782,chr9,93909427,93909429
cg27409651,chr11,61125000,61125002
cg17168057,chr15,78380341,78380343
cg26458072,chr10,102279693,102279695
cg05501996,chr5,50673729,50673731
cg06635946,chr22,46470015,46470017
cg18664915,chr7,1043860,1043862
cg13107908,chr7,43682594,43682596
cg15059065,chr19,17354960,17354962
cg01005608,chr4,10007948,10007950
cg26306976,chr2,9564900,9564902
cg14259466,chr10,135090996,135090998
cg16093065,chr22,40720632,40720634
cg15208672,chr13,114173023,114173025
cg25763393,chr19,52956831,52956833
cg05337383,chr3,28356543,28356545
cg24734928,chr13,100309350,100309352
cg25270899,chr13,101315318,101315320
cg04917472,chr20,57583285,57583287
cg08730245,chr12,53902892,53902894
cg07256463,chr17,40792346,40792348
cg14602222,chr12,1025662,1025664
cg08526904,chr19,19266490,19266492
cg16000989,chr4,41983715,41983717
cg04593460,chr7,2045487,2045489
cg06625610,chr9,136659261,136659263
cg15209998,chr17,29837056,29837058
cg20746318,chr21,27095176,27095178
cg16017800,chr6,157184113,157184115
cg04058177,chr16,48464928,48464930
cg20090662,chr11,46343426,46343428
cg07584494,chr19,5074757,5074759
cg05851482,chr16,392722,392724
cg27579771,chr5,142431271,142431273
cg09449988,chr7,151328115,151328117
cg23111945,chr11,70079988,70079990
cg17566718,chr10,72357734,72357736
cg19188597,chr22,46469941,46469943
cg13342014,chr21,45350324,45350326
cg15536651,chrX,100546352,100546354
cg27638835,chr16,386372,386374
cg05968833,chr2,86266050,86266052
cg03034148,chr6,2784575,2784577
cg01429558,chr1,43214546,43214548
cg20870372,chr13,99867981,99867983
cg06047066,chr3,129242306,129242308
